0,52.9,0,0.54,0.945,0.05,0,0.965
0,61.5,0,0.33,0.525,0.01,0,0.685
0,58.8,0,0.725,0.78,0.015,0,0.805
0,63.2,0,0.235,0.195,0.01,0,0.745
0,55.1,0,0.08,0.65,0.035,0,0.595
0,46.8,0,0.92,0.975,0.05,0,0.865
0,63.6,0,0.275,0.36,0.005,0,0.91
0,55.8,0,0.94,0.7,0.05,0,0.74
0,57.7,0,0.935,0.65,0.01,0,0.86
0,57.9,0,0.05,0.5,0.04,0,0.91
0,54.9,0,0.285,0.01,0.05,0,0.705
0,62.2,0,0.655,0.085,0.025,0,0.695
0,61.6,0,0.14,0.435,0.02,0,0.795
0,63.3,0,0.195,0.58,0.01,0,0.9
0,57.8,0,0.095,0.09,0.05,0,0.99
0,58.2,0,0.38,0.6,0.045,0,0.945
0,59.0,0,0.335,0.665,0.035,0,0.915
0,59.8,0,0.26,0.085,0.01,0,0.85
0,62.6,0,0.69,0.305,0.01,0,0.975
0,62.5,0,0.06,0.145,0.015,0,0.795
0,53.5,0,0.025,0.62,0.045,0,0.59
0,63.6,0,0.375,0.38,0.005,0,0.85
0,59.6,0,0.925,0.745,0.01,0,0.765
0,59.1,0,0.27,0.705,0.03,0,0.89
0,54.6,0,0.715,0.9,0.04,0,0.925
0,54.2,0,0.69,0.94,0.04,0,0.73
0,62.6,0,0.475,0.135,0.025,0,0.51
0,60.6,0,0.225,0.43,0.005,0,0.505
0,59.9,0,0.46,0.81,0.01,0,0.905
0,53.4,0,0.72,0.945,0.05,0,0.735
0,60.0,0,0.035,0.45,0.03,0,0.955
0,62.6,0,0.35,0.125,0.02,0,0.52
0,56.3,0,0.005,0.02,0.04,0,0.825
0,45.6,0,0.945,0.01,0.005,0,0.83
0,57.4,0,0.175,0.935,0.02,0,0.755
0,56.8,0,0.525,0.89,0.025,0,0.8
0,55.6,0,0.215,0.885,0.03,0,0.685
0,56.0,0,0.375,0.8,0.04,0,0.985
0,60.1,0,0.87,0.39,0.035,0,0.58
0,59.5,0,0.13,0.31,0.04,0,0.965
0,62.4,0,0.505,0.105,0.01,0,0.695
0,57.6,0,0.07,0.575,0.035,0,0.775
0,57.9,0,0.085,0.675,0.03,0,0.84
0,58.9,0,0.05,0.355,0.03,0,0.57
0,55.3,0,0.87,0.975,0.02,0,0.56
0,55.9,0,0.915,0.67,0.05,0,0.66
0,50.3,0,0.815,0.99,0.025,0,0.935
0,63.0,0,0.64,0.7,0.005,0,0.97
0,55.8,0,0.46,0.895,0.03,0,0.83
0,53.2,0,0.08,0.905,0.04,0,0.625
0,63.1,0,0.845,0.365,0.01,0,0.81
0,57.4,0,0.255,0.695,0.03,0,0.7
0,59.7,0,0.52,0.43,0.045,0,0.845
0,56.4,0,0.19,0.805,0.03,0,0.71
0,59.6,0,0.585,0.525,0.025,0,0.605
0,60.9,0,0.72,0.57,0.025,0,0.915
0,48.0,0,0.99,0.385,0.015,0,0.97
0,60.0,0,0.415,0.66,0.01,0,0.645
0,57.3,0,0.56,0.86,0.01,0,0.7
0,55.5,0,0.435,0.835,0.03,0,0.73
0,59.6,0,0.97,0.64,0.015,0,0.73
0,58.7,0,0.77,0.815,0.02,0,0.86
0,61.5,0,0.385,0.585,0.005,0,0.615
1,56.7,0,0.83,0.795,0.025,0,0.65
1,52.1,0,0.925,0.625,0.01,0,0.95
1,60.6,0,0.565,0.71,0.015,0,0.925
1,61.5,0,0.33,0.525,0.01,0,0.685
1,56.4,0,0.19,0.805,0.03,0,0.71
1,62.6,0,0.35,0.125,0.02,0,0.52
1,60.0,0,0.415,0.66,0.01,0,0.645
1,60.9,0,0.72,0.57,0.025,0,0.915
1,59.6,0,0.73,0.585,0.02,0,0.72
1,61.6,0,0.68,0.155,0.04,0,0.96
1,59.1,0,0.315,0.365,0.045,0,0.69
1,58.7,0,0.03,0.54,0.02,0,0.655
1,62.5,0,0.77,0.195,0.005,0,0.705
1,61.1,0,0.48,0.14,0.05,0,0.805
1,61.5,0,0.695,0.14,0.04,0,0.51
1,61.8,0,0.56,0.57,0.01,0,0.845
1,52.1,0,0.17,0.8,0.05,0,0.535
1,52.5,0,0.37,0.905,0.045,0,0.685
1,63.1,0,0.92,0.245,0.015,0,0.87
1,61.0,0,0.02,0.06,0.02,0,0.675
1,60.1,0,0.87,0.39,0.035,0,0.58
1,60.2,0,0.215,0.145,0.05,0,0.795
1,62.6,0,0.64,0.25,0.02,0,0.81
1,58.8,0,0.33,0.525,0.03,0,0.685
1,60.3,0,0.72,0.57,0.025,0,0.85
1,60.9,0,0.195,0.145,0.04,0,0.795
1,57.4,0,0.515,0.68,0.025,0,0.73
1,60.3,0,0.275,0.36,0.04,0,0.91
1,62.2,0,0.06,0.145,0.015,0,0.52
1,58.0,0,0.19,0.805,0.03,0,0.895
1,60.1,0,0.035,0.495,0.025,0,0.86
1,59.0,0,0.33,0.525,0.025,0,0.625
1,62.4,0,0.505,0.105,0.01,0,0.695
1,59.6,0,0.14,0.295,0.04,0,0.695
1,60.2,0,0.23,0.075,0.015,0,0.88
1,61.2,0,0.275,0.66,0.015,0,0.91
1,59.3,0,0.895,0.66,0.01,0,0.645
1,58.2,0,0.38,0.6,0.045,0,0.945
1,59.8,0,0.89,0.45,0.03,0,0.955
1,60.5,0,0.06,0.145,0.04,0,0.795
1,61.8,0,0.14,0.435,0.02,0,0.955
1,61.7,0,0.835,0.18,0.005,0,0.77
1,63.2,0,0.72,0.36,0.005,0,0.91
1,63.6,0,0.275,0.36,0.005,0,0.91
1,60.7,0,0.385,0.6,0.005,0,0.615
1,61.2,0,0.38,0.585,0.005,0,0.615
1,59.7,0,0.72,0.57,0.025,0,0.795
1,61.6,0,0.14,0.435,0.02,0,0.795
1,61.7,0,0.505,0.435,0.02,0,0.695
1,61.9,0,0.14,0.105,0.01,0,0.695
1,53.6,0,0.8,0.78,0.05,0,0.98
1,60.0,0,0.035,0.45,0.03,0,0.955
1,63.1,0,0.38,0.435,0.02,0,0.945
1,57.2,0,0.14,0.6,0.045,0,0.945
1,60.0,0,0.19,0.805,0.015,0,0.795
1,62.5,0,0.06,0.145,0.015,0,0.795
1,63.0,0,0.14,0.305,0.01,0,0.975
1,62.6,0,0.69,0.305,0.01,0,0.975
1,55.7,0,0.2,0.875,0.03,0,0.705
1,61.5,0,0.385,0.585,0.005,0,0.615
1,54.5,0,0.74,0.825,0.045,0,0.63
1,55.8,0,0.46,0.895,0.03,0,0.83
1,61.6,0,0.06,0.145,0.025,0,0.795
2,62.0,0,0.62,0.095,0.035,0,0.88
2,58.1,0,0.205,0.905,0.025,0,0.915
